Review,Actual Sentiments,Predicted Sentiments
booked day fitted told delivered time given another date date told wait days lost work days ,ease of booking negative change of date negative delivery punctuality negative , change of date negative ease of booking negative
easy order book tyre fitting locally ,ease of booking positive location positive , ease of booking positive location positive
good quality tyres competitive price process selecting quick easy garage chose fitted tyres quickly efficiently within hour ,tyre quality positive value for money positive length of fitting positive , length of fitting positive value for money positive
good reliable realistic prices ,value for money positive , value for money positive
attractive price spot service excellent fitting partner nothing find fault ,value for money positive garage service positive , value for money positive garage service positive
issues using redacted pick tyre want pick fitting centre would like use simple ,ease of booking positive , ease of booking positive
consistently great brands fantastic prices choice outstanding fitting centres date time choice coupled outstanding customer service else could ask used redacted years cannot fault take great pride service seem use best fitting centres get exactly expect time time ,value for money positive location positive , ease of booking positive value for money positive
easy booked online chose date fitting local autocentre sorted got easy experience round ,ease of booking positive location positive , ease of booking positive location positive
used many times easy use easy arrange fitting good prices ,value for money positive ease of booking positive , ease of booking positive value for money positive
hassle free good service price ,value for money positive , value for money positive
got tyres wanted cheapest price could find offered range fitting stations choose ,value for money positive , value for money positive
good price choice easy use ,value for money positive , value for money positive
service received first class cost competitive ,value for money positive , value for money positive
good price good fitting experience mr tyre ,value for money positive garage service positive , value for money positive garage service positive
easy use easy book competitive pricing ,ease of booking positive value for money positive , ease of booking positive value for money positive
really good price tyres good fitting service ,value for money positive , value for money positive
good price good service ,value for money positive , value for money positive
good price good selection tyres easy browse ,value for money positive , value for money positive
easy use website really great price ,value for money positive , value for money positive
great value easy order get fitted repeat customer ,value for money positive , value for money positive
michelin runflats best prices good discounted prices michelin tyres used good local fitter used redacted complaints problem ,value for money positive garage service positive location positive , value for money positive location positive
excellent customer service friendly staff fitted time quickly used twice continue get tyres redacted ,advisoragent service positive garage service positive , advisoragent service positive
need tread carefully redacted tyres best value range also get timed appointment local tyre fitting service best check day confirmation sometimes delayed ,value for money positive location positive , value for money positive ease of booking positive location positive
extremely good range tyres sizes good prices booking simple good range local fitters convenient appointments ,ease of booking positive value for money positive location positive , ease of booking positive value for money positive location positive
quick easy use found car garage right work convenient ,location positive , ease of booking positive
cheapest could find easy use website fitting bookable quick service excellent range products choose ,value for money positive , value for money positive
great choice quick service excellent garage fitting ,garage service positive , garage service positive
easy book simple fit many garages choose simple hassle free ,location positive ease of booking positive garage service positive , ease of booking positive
reasonable prices useful information web site carefully fitted use recommend anyone ,garage service positive value for money positive , value for money positive
easy order great service local fitter definitely use ,garage service positive location positive , location positive
excellent service every time used great value money ,value for money positive , value for money positive
easy buy fuss job done time arranged happy price flexible fitter ,wait time positive value for money positive , ease of booking positive value for money positive
easily order price reasonable garage quick great job ,value for money positive garage service positive , value for money positive garage service positive
always excellent service chose mobile home fitting service brilliant time provided prompt ,mobile fitter positive length of fitting positive , mobile fitter positive
superb easy use cheaper quoted garage actually fitted definitely recommend ,garage service positive value for money positive , value for money positive
online site worked efficiently broad choice tyres good email response query everything worked supposed reassuring aspect service ,response time positive , delivery punctuality positive
cheaper way buy tyres ,value for money positive , value for money positive
order lasted long time garage make wheel ,garage service negative , garage service negative
quick easy order tyres turned designated garage changed tyres hassle ,garage service positive , garage service negative
great service low price local garage ,value for money positive garage service positive , value for money positive location positive
tyre order delayed bit frustrating rescheduled called garage fitting tyre managed get following day good great prices customer service ,value for money positive advisoragent service positive change of date positive , delivery punctuality negative value for money positive
simple use ordering tyres given garages picked closest messaged appointment within days work done waited happy start finish ,location positive wait time positive , location positive ease of booking positive
fault redacted ordering system availability tyres however feel properly standard service given garages twice recently poor service garage fitted tyres second occasion could resulted dangerous failure garage properly tighten wheel nuts due job apparently left result using garage purpose ,garage service negative , garage service negative
excellent prices quality brand tyres although would nice could choose fitting time rather pm option ,tyre quality positive value for money positive ease of booking negative , value for money positive ease of booking negative
happy price paid fitted tyre time use sure ,value for money positive wait time positive , value for money positive
good prices easily arranged fitting need anymore ,value for money positive ease of booking positive , value for money positive ease of booking positive
happy tyres supplied fitted ,tyre quality positive , garage service positive
efficient service garage used ,garage service positive , garage service positive
unbeatable price far really easy fuss like ordered tyres booked time turned time got fitted easy ,ease of booking positive value for money positive wait time positive , ease of booking positive value for money positive
company broke tyre sensor fitting tyres garage refused even consider caused damage offer look even though broke within miles tyres changed use another garage addition fee fix tyres well able drive car found issue quickly confirmed tyre sensor broken tyres fitted previous garage would avoid cost look elsewhere slightly cheaper tyres worth car broken hassle fix ,extra charges negative damage negative garage service negative , extra charges negative value for money negative
excellent choice tyres kept well informed fitting date time ats fitting could better ,garage service positive tyre quality positive , delivery punctuality positive garage service positive
first last time using used first time would use garage tyres sent damaged two rims car garage redacted interested basically said damage caused rather tyre machine tyres fitted ats previous occasions issue lesson learned using redacted approved fitters future ,garage service positive , garage service negative
great price quick service superb quality tyres redacted brilliant communicating garage problem fitting slot selected online great making sure booked soon possible would totally recommend service car ,value for money positive tyre quality positive , value for money positive
booked online fitted local garage straight forward good price ,value for money positive garage service positive location positive , location positive value for money positive
good tyres friendly service ,tyre quality positive garage service positive , garage service positive
great website service fitting centre plus fantastic price say ,garage service positive value for money positive , value for money positive
great online ordering service tyre booked chosen garage delivered without delay fitted time professional garage ,delivery punctuality positive garage service positive length of fitting positive , delivery punctuality positive garage service positive
good service fitting location normally used direct ,location positive , location positive
excellent service easy use website good price premium tyres mr tyre lincoln always friendly helpful ,value for money positive tyre quality positive garage service positive , value for money positive garage service positive
tyre fitter great job ,garage service positive , garage service positive
booking time late morning question time would like ,ease of booking negative , ease of booking negative
tyres arrived time good price ,delivery punctuality positive value for money positive , delivery punctuality positive value for money positive
good quality good handling road would recommend ,tyre quality positive , tyre quality positive
big savings without google phone calls easy use understand want saved four tyres site still able use tyre place love great deal great service ,value for money positive location positive , value for money positive
great service good pricing tyres continue advise people service great bunch guys ,garage service positive value for money positive , value for money positive garage service positive
great value great service use future good value prompt service well impressed garage woldingham tyres fitted managed fit quickly tight timescale helpful easy deal overall impressed say often would definitely use ,garage service positive value for money positive , garage service positive value for money positive
good choice suitable tyres easy ordering process great find local garage fit tyres convenient time happily use ,ease of booking positive location positive , location positive ease of booking positive
easy cheap easy efficient cheap ,value for money positive , value for money positive
excellent easy use website great savings ,value for money positive , value for money positive
easy cheap ,value for money positive value for money positive , value for money positive
local garage great service cheaper tyres ,value for money positive location positive , value for money positive location positive
efficient start finish good quality tyres great price fitting station chose thorough definitely use redacted ,garage service positive tyre quality positive value for money positive , value for money positive
great prices service problem needed change size tyres placed order finally company delivers ,value for money positive , value for money positive
booking appointment fitter accurate booked time slot told eight hours later time slot available second time happened recent months ,change of date negative ease of booking negative , ease of booking negative change of date negative
